Cross,Fert,Direction,Genet,Species,Year,Night
01x05 ,0,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
02x05 ,93.36230151,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
03x05 ,0.280504909,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x05 ,0,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
06x05 ,41.80124148,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
07x05 ,94.91326608,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
08x05 ,0,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
09x05 ,44.6909646,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
12x05 ,3.194225272,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
13x05 ,0.11148272,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
04x05 ,96.15295815,Ova,x5,OFAV,Year 2-2022,OFAV-8/17/2022
01x08 ,0.86290358,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
02x08 ,91.90896721,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
03x08 ,0.203252033,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
05x08 ,0.083333333,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
06x08 ,36.8197073,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
07x08 ,92.40739498,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x08 ,0.106157113,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
09x08 ,43.89698828,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
12x08 ,1.021845644,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
13x08 ,0,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
04x08 ,92.40554216,Ova,x8,OFAV,Year 2-2022,OFAV-8/17/2022
01x12 ,0.920888184,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
02x12 ,91.27418185,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
03x12,0.340000333,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
05x12 ,0.497512438,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
06x12 ,41.40495271,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
07x12 ,94.89021164,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
08x12 ,0,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
09x12 ,87.42266556,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x12 ,1.909090909,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
13x12 ,0.350877193,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
04x12 ,93.67414203,Ova,x12,OFAV,Year 2-2022,OFAV-8/17/2022
01x13 ,0.45045045,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
02x13 ,90.49006696,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
03x13 ,0.614150984,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
05x13 ,0.192316219,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
06x13 ,46.46056133,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
07x13 ,90.33907714,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
08x13 ,0,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
09x13 ,43.09320072,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
12x13 ,0.990674919,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x13 ,0.434799119,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
04x13 ,94.87959254,Ova,x13,OFAV,Year 2-2022,OFAV-8/17/2022
01x02 ,68.48790789,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x02 ,0.305810398,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
03x02 ,71.82814388,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
05x02 ,74.02060907,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
06x02 ,73.03022228,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
07x02 ,80.5129717,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
08x02 ,76.45167804,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
09x02 ,80.81971565,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
12x02 ,80.70211556,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
13x02 ,87.91185243,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
04x02 ,91.38070696,Ova,x2,OFAV,Year 2-2022,OFAV-8/17/2022
01x09 ,69.3593425,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
02x09 ,93.6661902,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
03x09 ,82.22208159,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
05x09 ,79.72479054,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
06x09 ,14.84609145,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
07x09 ,95.70501585,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
08x09 ,85.42452477,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x09 ,0.823232323,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
12x09 ,44.60239651,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
13x09 ,85.66627817,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
04x09 ,95.7117589,Ova,x9,OFAV,Year 2-2022,OFAV-8/17/2022
01x06 ,75.10857422,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
02x06 ,90.76338403,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
03x06 ,83.45423264,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
05x06 ,83.96360777,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x06 ,11.19995745,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
07x06 ,91.14807389,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
08x06 ,86.04405671,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
09x06 ,0,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
12x06 ,90.85728192,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
13x06 ,87.64403307,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
04x06 ,93.57271151,Ova,x6,OFAV,Year 2-2022,OFAV-8/17/2022
01x07 ,78.57897785,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
02x07 ,76.8730496,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
03x07 ,82.74290288,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
05x07 ,84.25516119,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
06x07 ,83.42311224,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x07 ,0.553566284,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
08x07 ,91.92583228,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
09x07 ,86.82748538,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
12x07 ,88.50541101,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
13x07 ,88.89602185,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
04x07 ,91.09219115,Ova,x7,OFAV,Year 2-2022,OFAV-8/17/2022
01x04 ,92.76050182,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
02x04 ,90.71349276,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
03x04 ,92.37939364,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
05x04 ,93.00041275,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
06x04 ,96.30823279,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
07x04 ,93.87967824,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
08x04 ,95.08658871,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
09x04 ,95.61701016,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
12x04 ,96.19258807,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
13x04 ,96.84156518,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x04 ,0.134952767,Ova,x4,OFAV,Year 2-2022,OFAV-8/17/2022
01x01 ,0.250626566,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x02 ,68.48790789,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x03 ,1.56348956,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x05 ,0,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x06 ,75.10857422,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x07 ,78.57897785,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x08 ,0.86290358,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x09 ,69.3593425,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x12 ,0.920888184,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x13,0.45045045,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
01x04 ,92.76050182,Sperm,x1,OFAV,Year 2-2022,OFAV-8/17/2022
03x01 ,0.134952767,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x02 ,71.82814388,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x03 ,0,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x05 ,0.280504909,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x06 ,83.45423264,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x07 ,82.74290288,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x08 ,0.203252033,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x09 ,82.22208159,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x12 ,0.340000333,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x13 ,0.614150984,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
03x04 ,92.37939364,Sperm,x3,OFAV,Year 2-2022,OFAV-8/17/2022
05x01 ,0.39870787,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x02 ,74.02060907,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x03 ,0,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x05 ,0,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x06 ,83.96360777,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x07 ,84.25516119,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x08 ,0.083333333,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x09 ,79.72479054,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x12 ,0.497512438,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x13 ,0.192316219,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
05x04 ,93.00041275,Sperm,x5,OFAV,Year 2-2022,OFAV-8/17/2022
08x01 ,0,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x02 ,76.45167804,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x03 ,0.204075313,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x05 ,0,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x06 ,86.04405671,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x07 ,91.92583228,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x08 ,0.106157113,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x12 ,0,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x13,0,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x09 ,85.42452477,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
08x04 ,95.08658871,Sperm,x8,OFAV,Year 2-2022,OFAV-8/17/2022
12x01 ,1.25081929,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x02 ,80.70211556,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x03 ,2.504358579,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x05 ,3.194225272,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x06 ,90.85728192,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x07 ,88.50541101,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x08 ,1.021845644,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x09 ,87.42266556,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x12 ,1.909090909,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x13,0.990674919,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
12x04 ,96.19258807,Sperm,x12,OFAV,Year 2-2022,OFAV-8/17/2022
13x01 ,0,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x02 ,87.91185243,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x03 ,0.324226723,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x05 ,0.11148272,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x06 ,87.64403307,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x07 ,88.89602185,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x08 ,0,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x09 ,85.66627817,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x12 ,0.350877193,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x13 ,0.434799119,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
13x04 ,96.84156518,Sperm,x13,OFAV,Year 2-2022,OFAV-8/17/2022
02x01 ,95.25758842,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x02 ,0.305810398,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x03 ,92.96444832,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x05 ,93.36230151,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x06 ,90.76338403,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x07 ,76.8730496,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x08 ,91.90896721,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x09 ,93.6661902,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x12 ,91.27418185,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x13,90.49006696,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
02x04 ,90.71349276,Sperm,x2,OFAV,Year 2-2022,OFAV-8/17/2022
09x01 ,53.55870264,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x02 ,80.81971565,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x03 ,44.04976715,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x05 ,44.6909646,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x06 ,0,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x07 ,86.82748538,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x08 ,43.89698828,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x09 ,0.823232323,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x12 ,44.60239651,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x13,43.09320072,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
09x04 ,95.61701016,Sperm,x9,OFAV,Year 2-2022,OFAV-8/17/2022
06x01 ,64.29657521,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x02 ,73.03022228,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x03 ,41.33876252,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x05 ,41.80124148,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x06 ,11.19995745,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x07 ,83.42311224,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x08 ,36.8197073,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x09 ,14.84609145,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x12 ,41.40495271,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x13,46.46056133,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
06x04 ,96.30823279,Sperm,x6,OFAV,Year 2-2022,OFAV-8/17/2022
07x01 ,90.298567,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x02 ,80.5129717,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x03 ,93.08999965,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x05 ,94.91326608,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x06 ,91.14807389,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x07 ,0.553566284,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x08 ,92.40739498,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x09 ,95.70501585,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x12 ,94.89021164,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x13,90.33907714,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
07x04 ,93.87967824,Sperm,x7,OFAV,Year 2-2022,OFAV-8/17/2022
04x01 ,94.36740542,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x02 ,91.38070696,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x03 ,89.86376662,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x05 ,96.15295815,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x06 ,93.57271151,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x07 ,91.09219115,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x08 ,92.40554216,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x09 ,95.7117589,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x12 ,93.67414203,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x13 ,94.87959254,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
04x04 ,0.134952767,Sperm,x4,OFAV,Year 2-2022,OFAV-8/17/2022
